mettent,111
maison,111
police,111
retrouver,111
galère,111
cest,111
fini,111
début,110
yeux,110
boulot,110
terminus,110
loupé,109
reprise,109
bord,109
portugal,109
soleil,108
toulouse,108
paye,108
premier,108
sud,107
ligneratp,107
debout,107
laisse,107
sait,107
final,107
jouer,107
jeudi,107
problèmes,107
rester,107
chemin,107
vidéo,106
passent,106
jv,106
donner,105
usagers,105
vpecresse,105
sympa,105
bientôt,105
rentrée,105
metro,105
pouvez,104
voulais,104
assis,104
pb,104
puent,104
agents,103
dû,103
morte,102
sent,102
sors,102
portugais,102
i,102
milieu,102
bizarre,101
centre,101
voilà,101
tel,101
frère,101
prévoir,100
sorti,100
faisait,100
bonsoir,100
eau,100
cela,100
roule,99
xd,99
lignejsncf,99
compris,98
rouen,98
colis,98
seulement,98
infotrafic,98
midi,98
mtn,98
campagne,98
--,98
twitter,97
arrêté,97
peine,97
wagon,97
pointe,97
idée,97
sérieux,97
homme,97
passage,96
veulent,96
cru,96
combien,95
londres,94
odeur,94
niveau,93
mere,93
moyen,93
nez,93
perdre,93
ct,93
passagers,92
meufs,92
malaise,92
mourir,92
rate,92
sûr,91
foot,91
nom,91
manque,91
ensuite,90
allais,90
grande,90
appli,90
nantes,90
manger,90
jss,90
laisser,89
argent,89
chaleur,89
attendant,89
froid,89
km,89
gt,88
habite,88
fac,88
potes,88
lève,88
etre,88
dehors,87
finir,87
gagner,87
tjrs,87
projet,86
écouter,86
vide,86
mat,86
lignelsncf,86
tombe,86
aéroport,85
saint,85
plutôt,85
croiser,84
faite,84
mardi,84
top,84
voitures,84
taxi,84
avril,84
pq,84
devais,84
failli,84
école,84
appelle,83
limite,83
jsp,83
tickets,83
franchement,83
lire,82
habitude,82
mauvais,82
ème,82
numéro,82
importe,82
bordeaux,82
presque,82
etc,82
voulait,82
celle,82
pleurer,81
cons,81
région,81
tant,81
eurofinal,81
photos,81
change,81
courant,81
matins,81
fra,80
prochaine,80
japan,80
réponse,80
demandé,80
mercredi,80
comprends,80
ouibus,80
type,80
croisé,79
juin,79
pub,79
bc,79
ralenti,79
rouge,79
cheveux,79
allait,79
rails,79
devait,78
ben,78
perturbé,78
coté,78
prise,78
stif,78
rdv,78
r,77
écoute,77
chiant,77
viennent,77
stop,76
vitre,76
bondé,76
transilien,76
trucs,76
lit,76
bref,76
scolaire,75
venu,75
suspect,75
couple,75
pdt,75
entrain,75
grâce,75
zone,75
fanzone,75
croise,75
oublier,75
plaisir,74
nouvelles,74
ps,74
certains,74
base,74
semaines,74
faute,74
voix,74
obligé,74
actuellement,74
pluie,74
euh,74
terre,74
cergy,74
bcp,74
cheminots,73
message,73
penser,73
monsieur,73
trois,73
signalisation,73
joueurs,73
voulu,73
gênant,73
jviens,72
rouler,72
plan,72
expo,72
nice,72
hôtel,72
dites,72
trouvé,72
parlent,72
espérer,72
cc,72
vive,72
quelques,72
fête,72
valise,72
sport,71
croire,71
sert,71
pleins,71
haut,71
lignepsncf,71
impériale,70
normalement,70
génial,70
loi,70
remboursement,70
pont,70
pk,70
jcrois,70
nn,70
destination,70
siège,69
impossible,69
tombé,69
selon,69
annulé,69
blindé,69
finalement,69
dieu,69
rentré,69
drôle,69
jui,69
week-end,69
fenêtre,69
chelou,69
regard,68
clientsratp,68
filles,68
vieille,68
joue,68
prof,68
calme,67
wesh,67
reprendre,67
abonnement,67
demi,67
continue,67
gratuit,67
ère,67
retrouve,67
peuvent,67
ailleurs,66
minute,66
mets,66
contrôle,66
petits,66
faudrait,66
correspondance,66
jdois,66
v,66
soeur,66
grv,65
pars,65
rerc,65
soucis,65
parents,65
état,65
tweet,65
écrit,65
conducteurs,64
façon,64
allemagne,64
amende,64
galérer,64
propose,64
meilleur,64
couru,64
concert,63
foutre,63
aider,63
coupe,63
cherche,63
attendu,63
val,63
pck,63
ambiance,63
blanc,63
bras,63
commencer,63
champion,63
gauche,63
regardé,63
choses,63
savez,62
bosser,62
itinéraire,62
souvent,62
hyper,62
gosses,62
salle,62
dont,62
avc,62
jeunes,62
mai,61
mise,61
pleine,61
champions,61
tiens,61
cm,61
rappelle,61
prenez,61
préparer,61
longtemps,61
code,61
mddr,60
entendu,60
imagine,60
savent,60
montparnasse,60
sosie,60
asseoir,60
fermer,60
courage,60
rejoindre,60
payé,60
dur,60
impérial,60
loupe,60
réussi,60
plage,60
devrait,60
travailler,60
an,60
comprend,60
champs,59
respect,59
réveil,59
descend,59
porfra,59
bruxelles,59
prenne,59
fan,59
reprend,59
dos,59
chien,59
fonctionne,58
offre,58
ajd,58
uber,58
sourire,58
bouge,58
comprendre,58
réveiller,58
pauvre,58
incendie,58
malgré,58
coucou,58
mange,58
taff,57
clients,57
arrêtez,57
disent,57
bébé,57
agent,57
vivement,57
nation,57
prit,57
ns,57
risque,57
noir,57
anglais,57
ferme,57
renoi,57
bouchons,57
autoroute,57
application,57
jvois,57
châtelet,56
suivre,56
marché,56
essayer,56
fermé,56
pareil,56
circule,56
perturbations,56
pourrais,56
nombre,56
casser,56
triste,56
oklm,56
moitié,55
plusieurs,55
voyager,55
pensez,55
court,55
tranquille,55
parlé,55
famille,55
parcours,55
pourtant,55
rentrant,55
force,55
résultats,55
pleut,55
coter,55
seum,55
mars,54
eme,54
ko,54
rerd,54
f,54
revenir,54
chanter,54
malade,54
hâte,54
sortant,54
bfmtv,54
rend,54
voulez,54
morts,54
gentil,54
sale,53
voyages,53
horrible,53
conduire,53
commencé,53
horaire,53
enfer,53
omg,53
trajets,53
empêche,53
hasard,53
attention,53
ouvert,52
toulon,52
décidé,52
autour,52
entends,52
déteste,52
gagne,52
terminé,52
pa,52
changement,52
rames,52
rêve,52
flm,52
jpp,52
barre,52
éviter,52
signe,52
ptit,51
préfère,51
futur,51
choix,51
jure,51
connard,51
entrée,51
maillot,51
groupe,51
simple,51
défense,51
nouveaux,51
août,51
archi,51
enfant,50
suivant,50
quelque,50
jambes,50
concurrence,50
appel,50
jusque,50
parc,50
sachant,50
commun,50
endroit,50
metz,50
millions,50
oublie,50
attendais,50
femmes,50
arrêtent,49
faudra,49
hey,49
annoncé,49
lors,49
envoyer,49
mouvement,49
maman,49
stp,49
yavait,49
aille,49
lignehsncf,49
crier,49
finis,49
envoie,49
énorme,49
annehidalgo,48
degrés,48
essence,48
psq,48
fermeture,48
fixe,48
bouche,48
mairie,48
tours,48
dommage,48
bouger,48
entreprise,48
